Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201912,104,10580,C,Albany-Schenectady-Troy  NY ,1122,1122,310019,19,38,7244,13,49,6674,53,715,66610,695,695,184561,6,12,1222,8,30,3894,23,276,25356
201912,104,24020, ,Glens Falls  NY ,219,219,55598,0,0,0,2,6,746,1,6,781,140,140,36024,0,0,0,2,6,746,1,6,781
201912,106,10740,C,Albuquerque  NM ,1872,1872,446893,1,2,283,4,12,1296,14,262,23162,1195,1195,296615,0,0,0,0,0,0,2,188,20079
201912,106,42140,C,Santa Fe  NM ,344,344,78685,0,0,0,0,0,0,8,245,30037,344,344,78685,0,0,0,0,0,0,8,245,30037
201912,107,11020, ,Altoona  PA ,13,13,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,108,11100, ,Amarillo  TX ,446,446,108148,13,26,3415,0,0,0,0,0,0,446,446,108148,13,26,3415,0,0,0,0,0,0
201912,118,11540, ,Appleton  WI ,338,338,100092,17,34,5473,0,0,0,1,33,4500,338,338,100092,17,34,5473,0,0,0,1,33,4500
201912,118,36780, ,Oshkosh-Neenah  WI ,178,178,49027,8,16,2345,0,0,0,9,72,5760,178,178,49027,8,16,2345,0,0,0,9,72,5760
201912,120,11700, ,Asheville  NC ,1976,1976,569055,0,0,0,0,0,0,46,702,72103,541,541,146053,0,0,0,0,0,0,6,78,8536
201912,122,12020, ,Athens-Clarke County  GA ,753,753,167977,41,82,10221,16,55,5331,69,633,72609,753,753,167977,41,82,10221,16,55,5331,69,633,72609
201912,122,12060, ,Atlanta-Sandy Springs-Alpharetta  GA ,26166,26166,5938703,21,42,7032,33,115,21676,169,6406,806901,23844,23844,5403412,21,42,7032,31,107,21236,133,5474,710796
201912,122,23580, ,Gainesville  GA ,739,739,166524,9,18,1835,5,20,2557,16,319,35284,176,176,32070,9,18,1835,5,20,2557,16,319,35284
201912,122,40660,C,Rome  GA ,263,263,40868,0,0,0,0,0,0,0,0,0,263,263,40868,0,0,0,0,0,0,0,0,0
201912,140,13460,C,Bend  OR ,1488,1488,387044,37,74,10432,2,8,862,24,458,52080,1488,1488,387044,37,74,10432,2,8,862,24,458,52080
201912,142,13820,C,Birmingham-Hoover  AL ,2884,2884,774002,9,18,2226,2,7,455,11,110,11282,1915,1915,543123,0,0,0,2,7,455,2,10,1198
201912,144,14020,C,Bloomington  IN ,247,247,65250,12,24,3299,0,0,0,10,352,40838,30,30,8024,0,0,0,0,0,0,0,0,0
201912,145,14010, ,Bloomington  IL ,77,77,10895,5,10,645,0,0,0,8,65,4552,77,77,10895,5,10,645,0,0,0,8,65,4552
201912,146,14100,C,Bloomsburg-Berwick  PA ,94,94,23833,10,20,2670,0,0,0,1,9,1186,66,66,17344,9,18,2420,0,0,0,0,0,0
201912,147,14260,C,Boise City  ID ,7594,7594,1736134,38,76,8285,59,229,22386,156,2760,307191,6255,6255,1405383,36,72,7995,57,222,21704,156,2760,307191
201912,148,12700, ,Barnstable Town  MA ,56,56,26793,0,0,0,1,3,499,0,0,0,56,56,26793,0,0,0,1,3,499,0,0,0
201912,148,14460,C,Boston-Cambridge-Newton  MA-NH ,4323,4323,1334750,237,474,89142,116,386,76356,680,9594,1332168,2570,2570,853844,151,302,57555,93,313,63495,166,5180,875495
201912,148,31700, ,Manchester-Nashua  NH ,316,316,71777,19,38,6769,2,6,1034,4,157,19814,194,194,46219,18,36,6517,2,6,1034,1,133,17300
201912,148,39300,C,Providence-Warwick  RI-MA ,1596,1596,378975,92,184,18041,25,93,8304,13,175,13275,1146,1146,291108,71,142,13801,22,83,7204,9,153,10854
201912,148,49340, ,Worcester  MA-CT ,179,179,42547,3,6,603,1,3,600,6,46,824,83,83,21170,0,0,0,0,0,0,0,0,0
201912,150,14540, ,Bowling Green  KY ,577,577,136782,21,42,3446,8,32,3455,15,94,8025,577,577,136782,21,42,3446,8,32,3455,15,94,8025
201912,154,15180, ,Brownsville-Harlingen  TX ,978,978,100275,4,8,492,1,3,121,1,8,386,701,701,72857,0,0,0,0,0,0,0,0,0
201912,160,15380,C,Buffalo-Cheektowaga  NY ,940,940,288487,5,10,2050,9,34,6856,71,737,114328,879,879,277244,4,8,1761,9,34,6856,56,475,55588
201912,162,15540, ,Burlington-South Burlington  VT ,251,251,71199,20,40,6422,1,3,373,10,215,21049,175,175,48578,15,30,4426,1,3,373,6,105,7950
201912,163,15980,C,Cape Coral-Fort Myers  FL ,5628,5628,1217171,191,382,51721,36,144,35032,89,2946,420147,5628,5628,1217171,191,382,51721,36,144,35032,89,2946,420147
201912,163,34940, ,Naples-Marco Island  FL ,3075,3075,726318,3,6,775,27,108,23990,43,568,87260,3075,3075,726318,3,6,775,27,108,23990,43,568,87260
201912,164,16020, ,Cape Girardeau  MO-IL ,1,1,40,0,0,0,0,0,0,0,0,0,1,1,40,0,0,0,0,0,0,0,0,0
201912,168,16300, ,Cedar Rapids  IA ,347,347,55532,36,72,9799,2,7,970,6,184,19193,347,347,55532,36,72,9799,2,7,970,6,184,19193
201912,168,26980, ,Iowa City  IA ,209,209,56507,3,6,884,8,32,5522,16,557,95396,191,191,54028,3,6,884,8,32,5522,16,557,95396
201912,170,16620, ,Charleston  WV ,149,149,13627,3,6,1112,1,3,203,2,10,632,145,145,13212,3,6,1112,1,3,203,2,10,632
201912,170,26580, ,Huntington-Ashland  WV-KY-OH ,148,148,27826,3,6,833,3,10,1398,2,52,6396,71,71,16614,0,0,0,1,4,1000,1,47,5945
