Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201812,104,10580,C,Albany-Schenectady-Troy  NY ,1238,1238,333710,16,32,4459,30,116,14042,45,777,204650,1000,1000,269491,9,18,2797,27,106,12934,21,559,177926
201812,104,24020, ,Glens Falls  NY ,209,209,51486,1,2,270,0,0,0,0,0,0,129,129,32700,0,0,0,0,0,0,0,0,0
201812,106,10740,C,Albuquerque  NM ,2222,2222,488111,2,4,450,6,21,2403,17,134,9442,285,285,88653,1,2,167,1,3,314,0,0,0
201812,106,42140,C,Santa Fe  NM ,243,243,63890,0,0,0,0,0,0,6,30,2064,243,243,63890,0,0,0,0,0,0,6,30,2064
201812,108,11100, ,Amarillo  TX ,543,543,136410,6,12,1789,0,0,0,1,101,11428,543,543,136410,6,12,1789,0,0,0,1,101,11428
201812,118,11540, ,Appleton  WI ,413,413,112161,24,48,6936,0,0,0,2,20,1571,407,407,110437,19,38,5236,0,0,0,2,20,1571
201812,118,36780, ,Oshkosh-Neenah  WI ,199,199,51283,5,10,1825,0,0,0,9,97,6796,199,199,51283,5,10,1825,0,0,0,9,97,6796
201812,120,11700, ,Asheville  NC ,1931,1931,547513,0,0,0,0,0,0,38,628,55397,507,507,125417,0,0,0,0,0,0,14,330,26427
201812,122,12020, ,Athens-Clarke County  GA ,654,654,151332,0,0,0,2,8,1510,17,332,42697,654,654,151332,0,0,0,2,8,1510,17,332,42697
201812,122,12060, ,Atlanta-Sandy Springs-Roswell  GA ,26097,26097,5724264,51,102,14124,26,94,19741,254,12839,1593179,22806,22806,5053107,46,92,12372,25,90,19221,222,12089,1528665
201812,122,23580, ,Gainesville  GA ,889,889,184564,6,12,1660,4,12,2543,21,574,46977,303,303,47695,6,12,1660,4,12,2543,20,566,45977
201812,140,13460,C,Bend-Redmond  OR ,1819,1819,478958,27,54,8650,1,3,541,6,106,11317,1396,1396,380402,25,50,7838,1,3,541,2,22,2929
201812,142,13820,C,Birmingham-Hoover  AL ,2672,2672,709714,12,24,2968,1,4,223,25,295,28703,1521,1521,440019,0,0,0,1,4,223,7,118,9960
201812,144,14020,C,Bloomington  IN ,253,253,65290,28,56,7532,0,0,0,7,104,11969,0,0,0,0,0,0,0,0,0,0,0,0
201812,145,14010, ,Bloomington  IL ,83,83,11736,0,0,0,1,4,226,7,102,4815,56,56,7784,0,0,0,0,0,0,5,58,1665
201812,146,14100,C,Bloomsburg-Berwick  PA ,86,86,20035,0,0,0,0,0,0,8,116,13277,31,31,5996,0,0,0,0,0,0,7,52,4843
201812,147,14260,C,Boise City  ID ,6917,6917,1624896,32,64,7400,69,269,30279,117,1637,166279,6346,6346,1465453,26,52,6228,69,269,30279,117,1637,166279
201812,148,12700, ,Barnstable Town  MA ,81,81,40191,0,0,0,2,6,1000,0,0,0,29,29,14821,0,0,0,2,6,1000,0,0,0
201812,148,14460,C,Boston-Cambridge-Newton  MA-NH ,4846,4846,1521627,267,534,86057,102,347,65405,307,8246,1534976,2415,2415,843809,124,248,48759,81,270,51162,172,6239,1238833
201812,148,31700, ,Manchester-Nashua  NH ,391,391,73574,19,38,5269,2,6,407,14,268,30239,229,229,48017,12,24,3425,2,6,407,6,221,24310
201812,148,39300,C,Providence-Warwick  RI-MA ,1524,1524,348096,61,122,16027,7,21,2348,13,219,21061,724,724,174763,33,66,10092,7,21,2348,5,168,13989
201812,148,49340, ,Worcester  MA-CT ,181,181,43528,2,4,402,1,3,600,5,36,645,97,97,23886,0,0,0,0,0,0,0,0,0
201812,150,14540, ,Bowling Green  KY ,742,742,173405,49,98,7163,16,59,4145,108,1400,121954,0,0,0,0,0,0,0,0,0,0,0,0
201812,154,15180, ,Brownsville-Harlingen  TX ,910,910,94304,6,12,731,0,0,0,0,0,0,299,299,29506,5,10,616,0,0,0,0,0,0
201812,160,15380,C,Buffalo-Cheektowaga-Niagara Falls  NY ,974,974,276528,12,24,4901,6,22,2200,30,433,69252,678,678,207866,12,24,4901,6,22,2200,16,185,16732
201812,162,15980,C,Cape Coral-Fort Myers  FL ,5817,5817,1333457,280,560,69724,33,132,30641,120,3215,471011,5817,5817,1333457,280,560,69724,33,132,30641,120,3215,471011
201812,162,34940, ,Naples-Immokalee-Marco Island  FL ,3048,3048,705150,4,8,967,20,78,14809,58,1039,355926,3048,3048,705150,4,8,967,20,78,14809,58,1039,355926
201812,164,16020, ,Cape Girardeau  MO-IL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,168,16300, ,Cedar Rapids  IA ,333,333,44815,39,78,7047,2,6,597,11,331,28068,333,333,44815,39,78,7047,2,6,597,11,331,28068
201812,168,26980, ,Iowa City  IA ,278,278,70031,12,24,4737,8,27,4818,11,631,69825,259,259,67415,12,24,4737,8,27,4818,11,631,69825
201812,170,16620, ,Charleston  WV ,79,79,12532,2,4,452,4,12,808,7,44,2790,41,41,6062,0,0,0,0,0,0,0,0,0
201812,170,26580, ,Huntington-Ashland  WV-KY-OH ,167,167,33267,4,8,1064,5,18,802,2,11,628,10,10,3084,0,0,0,1,4,150,0,0,0
201812,172,16740, ,Charlotte-Concord-Gastonia  NC-SC ,15282,15282,3955680,33,66,7431,11,44,8608,223,9561,899465,13178,13178,3202567,33,66,7431,11,44,8608,209,9322,872977
201812,174,16860, ,Chattanooga  TN-GA ,1645,1645,325369,29,58,4412,6,24,2680,5,157,17769,1204,1204,220269,1,2,133,6,24,2680,0,0,0
