Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202012,104,10580,C,Albany-Schenectady-Troy  NY ,1300,1300,348356,22,44,7715,21,80,13288,53,564,55349,1150,1150,308630,18,36,6555,17,67,10978,49,530,53449
202012,104,24020, ,Glens Falls  NY ,226,226,59284,0,0,0,0,0,0,1,72,17000,140,140,38234,0,0,0,0,0,0,1,72,17000
202012,106,10740,C,Albuquerque  NM ,1925,1925,489907,0,0,0,7,21,2293,12,68,2833,1180,1180,324485,0,0,0,0,0,0,0,0,0
202012,106,42140,C,Santa Fe  NM ,288,288,78554,0,0,0,0,0,0,23,317,44357,0,0,0,0,0,0,0,0,0,0,0,0
202012,107,11020, ,Altoona  PA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,108,11100, ,Amarillo  TX ,560,560,131050,0,0,0,0,0,0,39,285,33815,560,560,131050,0,0,0,0,0,0,39,285,33815
202012,118,11540, ,Appleton  WI ,452,452,133634,27,54,9726,0,0,0,28,322,36800,452,452,133634,27,54,9726,0,0,0,28,322,36800
202012,118,36780, ,Oshkosh-Neenah  WI ,187,187,53811,12,24,3842,1,3,450,19,265,23487,187,187,53811,12,24,3842,1,3,450,19,265,23487
202012,120,11700, ,Asheville  NC ,2053,2053,606819,3,6,1322,0,0,0,58,1163,112893,648,648,193126,0,0,0,0,0,0,0,0,0
202012,122,12020, ,Athens-Clarke County  GA ,545,545,165315,113,226,32327,32,123,10489,0,0,0,545,545,165315,113,226,32327,32,123,10489,0,0,0
202012,122,12060, ,Atlanta-Sandy Springs-Alpharetta  GA ,28057,28057,6380069,21,42,6091,56,196,29557,143,3332,435267,26045,26045,5930476,21,42,6091,56,196,29557,134,3279,425286
202012,122,23580, ,Gainesville  GA ,758,758,175081,4,8,572,0,0,0,7,314,38290,125,125,23619,3,6,360,0,0,0,7,314,38290
202012,122,40660,C,Rome  GA ,282,282,46376,0,0,0,0,0,0,0,0,0,282,282,46376,0,0,0,0,0,0,0,0,0
202012,140,13460,C,Bend  OR ,1792,1792,464864,65,130,16129,5,17,2913,19,464,73684,1082,1082,313627,6,12,1705,5,17,2913,12,151,16711
202012,142,13820,C,Birmingham-Hoover  AL ,3543,3543,994375,13,26,3388,0,0,0,21,307,31215,2640,2640,774630,2,4,740,0,0,0,8,200,20331
202012,144,14020,C,Bloomington  IN ,283,283,75861,10,20,2840,0,0,0,12,347,40746,29,29,7928,0,0,0,0,0,0,0,0,0
202012,145,14010, ,Bloomington  IL ,128,128,26206,10,20,1492,0,0,0,5,81,10391,128,128,26206,10,20,1492,0,0,0,5,81,10391
202012,146,14100,C,Bloomsburg-Berwick  PA ,82,82,19237,3,6,766,0,0,0,0,0,0,37,37,8732,2,4,480,0,0,0,0,0,0
202012,147,14260,C,Boise City  ID ,8112,8112,1927483,72,144,22049,92,351,50063,65,1109,128311,7329,7329,1702711,71,142,21749,92,351,50063,65,1109,128311
202012,148,12700, ,Barnstable Town  MA ,88,88,42738,3,6,1012,2,6,900,1,10,1500,59,59,24486,3,6,1012,2,6,900,1,10,1500
202012,148,14460,C,Boston-Cambridge-Newton  MA-NH ,4546,4546,1409879,257,514,97678,90,307,54698,510,8788,2283000,2504,2504,798645,156,312,56644,63,212,41696,142,5572,1943730
202012,148,31700, ,Manchester-Nashua  NH ,310,310,67684,19,38,4963,0,0,0,3,93,10641,123,123,33140,5,10,1158,0,0,0,3,93,10641
202012,148,39300,C,Providence-Warwick  RI-MA ,1605,1605,385340,93,186,18827,26,97,8779,20,137,16736,1115,1115,275087,54,108,10649,4,15,1826,10,79,6740
202012,148,49340, ,Worcester  MA-CT ,197,197,45555,1,2,180,0,0,0,4,21,376,95,95,21434,1,2,180,0,0,0,4,21,376
202012,150,14540, ,Bowling Green  KY ,774,774,172853,8,16,1475,3,12,945,17,150,7716,774,774,172853,8,16,1475,3,12,945,17,150,7716
202012,154,15180, ,Brownsville-Harlingen  TX ,1107,1107,113171,27,54,3694,10,32,4106,9,125,10302,0,0,0,0,0,0,0,0,0,0,0,0
202012,160,15380,C,Buffalo-Cheektowaga  NY ,930,930,305787,16,32,5783,8,31,7187,37,469,64979,783,783,261906,15,30,5583,7,27,6192,21,219,13527
202012,162,15540, ,Burlington-South Burlington  VT ,260,260,80251,16,32,5171,4,13,1506,16,343,29904,163,163,55899,9,18,2723,4,13,1506,10,306,26610
202012,163,15980,C,Cape Coral-Fort Myers  FL ,6822,6822,1427341,224,448,50014,27,108,27953,116,3298,431685,6760,6760,1413297,223,446,49868,27,108,27953,113,3254,426952
202012,163,34940, ,Naples-Marco Island  FL ,2984,2984,687029,1,2,240,37,137,28954,47,988,301691,2984,2984,687029,1,2,240,37,137,28954,47,988,301691
202012,164,16020, ,Cape Girardeau  MO-IL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,168,16300, ,Cedar Rapids  IA ,336,336,55098,32,64,7455,6,22,2700,3,81,9797,319,319,48845,32,64,7455,6,22,2700,3,81,9797
202012,168,26980, ,Iowa City  IA ,278,278,70078,5,10,2487,4,15,2693,8,313,31457,253,253,66412,5,10,2487,4,15,2693,8,313,31457
202012,170,16620, ,Charleston  WV ,256,256,21691,0,0,0,1,4,240,2,36,4360,210,210,19535,0,0,0,1,4,240,2,36,4360
202012,170,26580, ,Huntington-Ashland  WV-KY-OH ,225,225,38572,2,4,373,1,3,153,1,12,1454,86,86,7766,1,2,159,1,3,153,0,0,0
